name,latitude,longitude,rating,user_ratings_total,address,type,drive_thru,good_review_summary,bad_review_summary
Starbucks,34.753767,-86.6930381,4.0,39.0,"20 Town Center Dr NW, Huntsville",big_brand,False,"This Starbucks is my favorite location in Huntsville! It is beautiful, and the staff is the best. People complaining should try making hundreds of coffees and not make any mistakes.",No bad reviews available.
Starbucks,34.7280196,-86.5889146,5.0,2.0,"707 Monroe St SW, Huntsville",big_brand,False,Great location next to Big Spring Park. Tons of seating. Outstanding service. This one is super nice inside! Great location.,No bad reviews available.
Starbucks,34.7260789,-86.5955426,3.9,45.0,"114 Heart of Huntsville Dr SW, Huntsville",big_brand,False,No good reviews available.,The customer service here is great. However... I'm not coming back to this one. Drive through is completely disrespectful. We asked for ice in our ICED COFFEE. After being pulled to the front. They young man walked out a coffee packed with ice to be ignorant. Do better.
Starbucks,34.7192175,-86.58155099999999,5.0,1.0,"201 Governors Dr SW First Floor, Huntsville",big_brand,False,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,No bad reviews available.
Barnes and Noble Café,34.715185,-86.672218,3.6,7.0,"300 The Bridge St #100, Huntsville",small_business,False,"B&N has a wide range of books and merchandise, such as Lego, Calico Critters (or Sylvanian Families, as they are known where I come from). There is a Starbucks inside for my coffee fix.","I hope no one comes here with a service dog, the staff member was rude, we where told to leave that dogs are not allowed in, and would not let me explain that she is a serviceDog just that we needed to leave right then no exceptions. It was humiliating. Won't be back here again."
PJ's Coffee,34.7734113,-86.5264052,3.6,45.0,"1801 US-72, Huntsville",small_business,False,First time at this location & it was a great experience! We had the mini beignets with chocolate & strawberry dip. Turkey sausage sandwich & a regular sausage sandwich. We had pralines & cream coffee & a white chocolate mocha coffee. All of it we spent about $40.,No bad reviews available.
PJ's Coffee,34.7313563,-86.5884452,4.1,80.0,"133 Holmes Ave NW, Huntsville",small_business,False,Beignets are served warm every time I have ordered. There is a wait for a few minutes to get your order because it is made fresh to order. Staff is very friendly as well.,"The lady that ""helped"" me wasn't very helpful, if somebody asks about a drink you guys don't have you should be able to recommend something similar instead of just saying no. She didn't come up to the window for a few minutes after I pulled up. Her whole attitude was very off putting and made the experience feel like it was an inconvenience to her."
Scooter's Coffee,34.7345524,-86.6341625,4.5,54.0,"4301 University Dr, Huntsville",big_brand,False,"Scooters is one of my new favorite places. Their options are on their menu, I am enjoying getting familiar with. The prices are reasonable, the staff is friendly, and it's not a super long wait.",A blended caramelicious should actually taste like coffee and caramel not sugar water. Please make sure you’re putting enough flavor. And when we ask for extra caramel actually do it! It’s not that hard if you actually care to listen.
Dunkin',34.74432850000001,-86.6016716,3.3,1114.0,"1221B Memorial Pkwy NW, Huntsville",big_brand,False,"The service was great, but the coffee, not so much. I buy the same coffee Monday thru Friday at my local Dunkin and love it! However this one isn't very good at all.",I asked for a large iced coffee light ice and I ask for light ice so I can have more coffee and less ice cause they love to over fill the cup with mostly ice. Like yall need to do better and I never have problems with this location til this new management came along. Where is corporate at? If this is a franchise it should be taken away.
Dunkin',34.6416977,-86.56609610000001,4.1,561.0,"10055 S Memorial Pkwy B, Huntsville",big_brand,False,"Wade, Zoe, and Ethan did a phenomenal job! Even though they were short staffed and super busy, they seem to make the business work together. 10 out of 10 definitely will recommend!","Placed an online order at 11:55am in the parking lot, it's now 12:16pm I just got my drink but I still do not have my food. The cook will not change her gloves after touching the computer then everyone's hot food. I watched 3 Crossiant sandwich get made after already waiting 5 minutes and now they can not make my sandwich correctly due to serving drive thru first and no longer having crossiants."
Dunkin',34.6734758,-86.5387454,3.7,516.0,"2785 Carl T Jones Dr SE Suite A, Huntsville",big_brand,False,"I had forgotten my wallet one morning, and I was determined just to not get my coffee. One of the employees told me not to worry about it and paid for my coffee which was $6. Huge thanks to that employee and for their kindness.","The one girl taking orders was really friendly and nice, but the lady doing drive thru wouldn’t even acknowledge us when we tried to ask for ketchup, straight up ignored my husband. The girl running the drive through lane this morning (Monday at 9:45) needs to learn basic customer service and manners. The hash brown bowl was 1/3 full and no fork was included in the bag."
Dunkin',34.663611,-86.484859,3.7,89.0,"6511 US-431, Hampton Cove",big_brand,False,"The Sunday morning crew are awesome! They’re always upbeat and friendly even though I’m always there not long after they open. My order is always hot and ready when I pull up to the window. The people that work here are always very very nice! You have a fantastic, hardworking staff!","i just wanted my favorite coffee from my local hampton cove dunkin this friday morning and this rude elderly woman was very unkind and forget my caramel drizzle on my coffee. when i asked for a toasted bagel that was would make since that i wanted it with cream cheese she but instead she just throw a very burnt, tiny bagel into a bag with no cream cheese or knife. there is service is god aweful and if there was a star to rank them"
Dunkin',34.727161,-86.64005499999999,3.6,79.0,"301 Sparkman Dr NW, Huntsville",big_brand,False,"Mrs. Fathizadeh at The University of Alabama in Huntsville provided exceptional service. Her professionalism, unwavering passion, and consistently warm demeanor were truly commendable.","This location is comically bad. I came twice a week for a semester, and ordered the same drink pretty much every time. Hash browns were also stale and cold. Typical capitalist mindset. No pride of ownership."
Dunkin Cemetery,34.67537,-86.47744,,,Brownsboro,big_brand,False,No good reviews available.,No bad reviews available.
Dunkin's Painting-Wallpapering,34.7226053,-86.5789817,,,"802 Franklin St SE, Huntsville",big_brand,False,No good reviews available.,No bad reviews available.
Kay Donuts,34.8159556,-86.4906745,4.8,70.0,"2246 Winchester Rd NE, Huntsville",small_business,False,All the doughnuts I’ve tried here have been delicious! My favorite are the cinnamon! It’s a great Iocal shop with such variety. The prices are amazing. Give them a try!,No bad reviews available.
Krispy Kreme,34.7434528,-86.6001854,4.0,2010.0,"1218 N Memorial Pkwy, Huntsville",small_business,False,No good reviews available.,"I always have loved their doughnuts,  but will have to find another place to go. Ordered the Valentines Box of Flowers to be delivered and they were awful. Missing the types advertised, lazy and none of the pretty decorations advertised. Sad dried up plain donuts that look like a lazy person couldn't be bothered enough to do a good job on."
Dutch Bros Coffee,34.66177,-86.4840863,4.4,157.0,"6565 US-431, Owens Cross Roads",big_brand,False,Dutch Bros has great tasting coffee and the staff are always pleasant and nice. The only issue with this location is the number of employees on duty. Having 2 people making drinks and 1 person taking drive thru orders during lunch time is a terrible idea. Stop being cheap (if this is the reason why only 3 people are working) and hire more people to work during your busiest hours.,No bad reviews available.
Dutch Bros Coffee,34.73555640000001,-86.63675359999999,4.7,88.0,"4314 University Dr, Huntsville",big_brand,False,This location is super convenient in Huntsville right across from UAH on University drive. We truly missed the west coast desert coffees but this is such a nice treat. Download their mobile app to earn rewards!,No bad reviews available.
PIPER AND LEAF Tea & Coffee Shop,34.7291338,-86.58414479999999,4.8,159.0,"109 Gates Ave SE, Huntsville",small_business,False,Piper and Leaf is such a gem! I've gotten use to going to the Lowe Mill location but came to the Constitution Park location today for their Garden Party! Such a lovely event! You can do no wrong stopping at any of the locations.,No bad reviews available.
Beverage Depot Spirits,34.747,-86.6858231,4.4,278.0,"6396 University Dr NW, Huntsville",small_business,False,"Cute little store. Nice employees and selection. Barton's gin- plesantly dry, light floral after taste. Jim beam vanilla- smooth, good for the holidays. Peach amsterdam- like flavored water for non drinkers.",Gave the worker $30 in cash. And the remaining balance was supposed to go on my card. But instead she charged my card $30 and took my $30 cash.
Vices Beverages at South Parkway,34.6792013,-86.577227,4.6,240.0,"4060 Memorial Pkwy SW, Huntsville",small_business,False,This store also has an excellent supply of home brewing equipment. They have kits for first time brewers and ingredients that experienced brewers need. Live yeast is kept in a refrigerator. The staff is knowledgeable and helpful.,No bad reviews available.
Circle K Gas,34.7271942,-86.6270232,4.2,293.0,"540 Jordan Ln NW, Huntsville",small_business,False,"This place is a quick stop for grabbing snacks, getting gas, and heading back out. There's about 4 or so pumps available and it's a neat, little space that you can enter in where you will find a clerk working behind the register. You can always count on them to be open.","Third time I have stopped at this store and bathroom is never open, Not Convenient at all! ""Not Convenient"" is the word I use to describe this store."
Tous Les Jours,34.7383287,-86.6662345,4.6,328.0,"1026 Mid City Dr, Huntsville",small_business,False,"10/10 red bean buns, sweet soft bread, and their savory treats are a must-have. I'm in love with the curry and kimchi croquettes. The staff are so friendly and welcoming.","The croissants were soggy and didn't taste fresh at all. They offered to fix it, but it was late for me so I just took it. Honestly, I came here for good pastries."
The Foundation Coffeehouse,34.7899737,-86.57295599999999,4.3,25.0,"4701 Meridian St N Suite K, Huntsville",small_business,False,"The food is delicious and well worth it they’re a little pricey but you get what you pay for! They have discontinued, the coffee, shop, part of the business, but the food is amazing. Employees were sweet and knowledgeable, patient with us not knowing the menu differences between vegan and the other options. Coming back to town soon and will stop here every time now.","Closed? — not a cafe — appears to now be a venue rental space. Owners need to update business name, business category, hours, etc."
Scooter's Coffee,34.720423,-86.59050080000002,4.5,300.0,"700 Governors Dr SW, Huntsville",big_brand,False,Delightful coffee. The frozen blended ones always hit the spot when you feel like rewarding yourself a little. Great quick service with a smile too. Highly recommend.,"I ordered a medium Americano with two extra shots and extra ice. When I received my Americano, it was very clear and had very little espresso at all. On top of that, they refused to take the first one back even though it was complete garbage. They don't even have a way to contact them or explain this issue on their website."
Mudslingers Drive-Thru Coffee,34.6505125,-86.47796699999999,4.8,119.0,"6935 US-431, Owens Cross Roads",small_business,True,"Mudslingers is a drive through coffee shop on the side of the road. The owners and staff are genuinely just nice people. If you want an amazing cup of coffee with great service, stop by.",No bad reviews available.
White Bison Coffee,34.814469,-86.4999084,3.7,148.0,"2001 Winchester Rd NE, Huntsville",small_business,False,Best coffee in this area and much more affordable than driving further for a local coffee shop. Twice I’ve gotten lattes here and both times were great coffee and great service!,Waited 45mins for a curbside order. They initially called when I first arrived to ask to substitute an out of stock item. After I gave up and went in staff first ignored me for 5mins. I declined the offer of cold food and drinks.
