name,latitude,longitude,rating,user_ratings_total,address,type,drive_thru,good_review_summary,bad_review_summary,lat,lon,google_good_review_summary,google_bad_review_summary
Starbucks,34.6746237,-86.5442142,3.9,90.0,"2750 Carl T Jones Dr SE, Huntsville",big_brand,False,"The hours listed are incorrect. They share the same hours as Target which means they don't open until 8 am during the week, not 5 am. The coffee is consistent and the employees seem to be happy to be there.","The young woman that took my order asked me “hot or iced?” i said iced, once i received my drink from the other barista i realized that the drink was hot so i said “im sorry, i asked for iced.” The other girl starts yelling “oh my goddddd” as i walked out of the building. I am appalled by the rudeness of this young woman. She shouldn’t not be",,,,
Starbucks,34.753767,-86.6930381,4.0,39.0,"20 Town Center Dr NW, Huntsville",big_brand,False,"This Starbucks is my favorite location in Huntsville! It is beautiful, and the staff is the best. People complaining should try making hundreds of coffees and not make any mistakes.",No bad reviews available.,,,,
Starbucks,34.7280196,-86.5889146,5.0,2.0,"707 Monroe St SW, Huntsville",big_brand,False,Great location next to Big Spring Park. Tons of seating. Outstanding service. This one is super nice inside! Great location.,No bad reviews available.,,,,
Starbucks,34.7260789,-86.5955426,3.9,45.0,"114 Heart of Huntsville Dr SW, Huntsville",big_brand,False,No good reviews available.,The customer service here is great. However... I'm not coming back to this one. Drive through is completely disrespectful. We asked for ice in our ICED COFFEE. After being pulled to the front. They young man walked out a coffee packed with ice to be ignorant. Do better.,,,,
Starbucks,34.7192175,-86.58155099999999,5.0,1.0,"201 Governors Dr SW First Floor, Huntsville",big_brand,False,CNN.com will feature iReporter photos in a weekly Travel Snapshots gallery. Please submit your best shots of New York for next week. Visit CNN.com/Travel next Wednesday for a new gallery of snapshots.,No bad reviews available.,,,,
Barnes and Noble Café,34.715185,-86.672218,3.6,7.0,"300 The Bridge St #100, Huntsville",small_business,False,"B&N has a wide range of books and merchandise, such as Lego, Calico Critters (or Sylvanian Families, as they are known where I come from). There is a Starbucks inside for my coffee fix.","I hope no one comes here with a service dog, the staff member was rude, we where told to leave that dogs are not allowed in, and would not let me explain that she is a serviceDog just that we needed to leave right then no exceptions. It was humiliating. Won't be back here again.",,,,
PJ's Coffee,34.7734113,-86.5264052,3.6,45.0,"1801 US-72, Huntsville",small_business,False,First time at this location & it was a great experience! We had the mini beignets with chocolate & strawberry dip. Turkey sausage sandwich & a regular sausage sandwich. We had pralines & cream coffee & a white chocolate mocha coffee. All of it we spent about $40.,No bad reviews available.,,,,
PJ's Coffee,34.7313563,-86.5884452,4.1,80.0,"133 Holmes Ave NW, Huntsville",small_business,False,Beignets are served warm every time I have ordered. There is a wait for a few minutes to get your order because it is made fresh to order. Staff is very friendly as well.,"The lady that ""helped"" me wasn't very helpful, if somebody asks about a drink you guys don't have you should be able to recommend something similar instead of just saying no. She didn't come up to the window for a few minutes after I pulled up. Her whole attitude was very off putting and made the experience feel like it was an inconvenience to her.",,,,
Scooter's Coffee,34.7345524,-86.6341625,4.5,54.0,"4301 University Dr, Huntsville",big_brand,False,"Scooters is one of my new favorite places. Their options are on their menu, I am enjoying getting familiar with. The prices are reasonable, the staff is friendly, and it's not a super long wait.",A blended caramelicious should actually taste like coffee and caramel not sugar water. Please make sure you’re putting enough flavor. And when we ask for extra caramel actually do it! It’s not that hard if you actually care to listen.,,,,
Dunkin',34.74432850000001,-86.6016716,3.3,1114.0,"1221B Memorial Pkwy NW, Huntsville",big_brand,False,"The service was great, but the coffee, not so much. I buy the same coffee Monday thru Friday at my local Dunkin and love it! However this one isn't very good at all.",I asked for a large iced coffee light ice and I ask for light ice so I can have more coffee and less ice cause they love to over fill the cup with mostly ice. Like yall need to do better and I never have problems with this location til this new management came along. Where is corporate at? If this is a franchise it should be taken away.,,,,
Dunkin',34.6416977,-86.56609610000001,4.1,561.0,"10055 S Memorial Pkwy B, Huntsville",big_brand,False,"Wade, Zoe, and Ethan did a phenomenal job! Even though they were short staffed and super busy, they seem to make the business work together. 10 out of 10 definitely will recommend!","Placed an online order at 11:55am in the parking lot, it's now 12:16pm I just got my drink but I still do not have my food. The cook will not change her gloves after touching the computer then everyone's hot food. I watched 3 Crossiant sandwich get made after already waiting 5 minutes and now they can not make my sandwich correctly due to serving drive thru first and no longer having crossiants.",,,,
Dunkin',34.6734758,-86.5387454,3.7,516.0,"2785 Carl T Jones Dr SE Suite A, Huntsville",big_brand,False,"I had forgotten my wallet one morning, and I was determined just to not get my coffee. One of the employees told me not to worry about it and paid for my coffee which was $6. Huge thanks to that employee and for their kindness.","The one girl taking orders was really friendly and nice, but the lady doing drive thru wouldn’t even acknowledge us when we tried to ask for ketchup, straight up ignored my husband. The girl running the drive through lane this morning (Monday at 9:45) needs to learn basic customer service and manners. The hash brown bowl was 1/3 full and no fork was included in the bag.",,,,
Dunkin',34.663611,-86.484859,3.7,89.0,"6511 US-431, Hampton Cove",big_brand,False,"The Sunday morning crew are awesome! They’re always upbeat and friendly even though I’m always there not long after they open. My order is always hot and ready when I pull up to the window. The people that work here are always very very nice! You have a fantastic, hardworking staff!","i just wanted my favorite coffee from my local hampton cove dunkin this friday morning and this rude elderly woman was very unkind and forget my caramel drizzle on my coffee. when i asked for a toasted bagel that was would make since that i wanted it with cream cheese she but instead she just throw a very burnt, tiny bagel into a bag with no cream cheese or knife. there is service is god aweful and if there was a star to rank them",,,,
Dunkin',34.727161,-86.64005499999999,3.6,79.0,"301 Sparkman Dr NW, Huntsville",big_brand,False,"Mrs. Fathizadeh at The University of Alabama in Huntsville provided exceptional service. Her professionalism, unwavering passion, and consistently warm demeanor were truly commendable.","This location is comically bad. I came twice a week for a semester, and ordered the same drink pretty much every time. Hash browns were also stale and cold. Typical capitalist mindset. No pride of ownership.",,,,
Dunkin Cemetery,34.67537,-86.47744,,,Brownsboro,big_brand,False,No good reviews available.,No bad reviews available.,,,,
Dunkin's Painting-Wallpapering,34.7226053,-86.5789817,,,"802 Franklin St SE, Huntsville",big_brand,False,No good reviews available.,No bad reviews available.,,,,
Kay Donuts,34.8159556,-86.4906745,4.8,70.0,"2246 Winchester Rd NE, Huntsville",small_business,False,All the doughnuts I’ve tried here have been delicious! My favorite are the cinnamon! It’s a great Iocal shop with such variety. The prices are amazing. Give them a try!,No bad reviews available.,,,,
Krispy Kreme,34.7434528,-86.6001854,4.0,2010.0,"1218 N Memorial Pkwy, Huntsville",small_business,False,No good reviews available.,"I always have loved their doughnuts,  but will have to find another place to go. Ordered the Valentines Box of Flowers to be delivered and they were awful. Missing the types advertised, lazy and none of the pretty decorations advertised. Sad dried up plain donuts that look like a lazy person couldn't be bothered enough to do a good job on.",,,,
Dutch Bros Coffee,34.66177,-86.4840863,4.4,157.0,"6565 US-431, Owens Cross Roads",big_brand,False,Dutch Bros has great tasting coffee and the staff are always pleasant and nice. The only issue with this location is the number of employees on duty. Having 2 people making drinks and 1 person taking drive thru orders during lunch time is a terrible idea. Stop being cheap (if this is the reason why only 3 people are working) and hire more people to work during your busiest hours.,No bad reviews available.,,,,
Dutch Bros Coffee,34.73555640000001,-86.63675359999999,4.7,88.0,"4314 University Dr, Huntsville",big_brand,False,This location is super convenient in Huntsville right across from UAH on University drive. We truly missed the west coast desert coffees but this is such a nice treat. Download their mobile app to earn rewards!,No bad reviews available.,,,,
PIPER AND LEAF Tea & Coffee Shop,34.7291338,-86.58414479999999,4.8,159.0,"109 Gates Ave SE, Huntsville",small_business,False,Piper and Leaf is such a gem! I've gotten use to going to the Lowe Mill location but came to the Constitution Park location today for their Garden Party! Such a lovely event! You can do no wrong stopping at any of the locations.,No bad reviews available.,,,,
Beverage Depot Spirits,34.747,-86.6858231,4.4,278.0,"6396 University Dr NW, Huntsville",small_business,False,"Cute little store. Nice employees and selection. Barton's gin- plesantly dry, light floral after taste. Jim beam vanilla- smooth, good for the holidays. Peach amsterdam- like flavored water for non drinkers.",Gave the worker $30 in cash. And the remaining balance was supposed to go on my card. But instead she charged my card $30 and took my $30 cash.,,,,
Vices Beverages at South Parkway,34.6792013,-86.577227,4.6,240.0,"4060 Memorial Pkwy SW, Huntsville",small_business,False,This store also has an excellent supply of home brewing equipment. They have kits for first time brewers and ingredients that experienced brewers need. Live yeast is kept in a refrigerator. The staff is knowledgeable and helpful.,No bad reviews available.,,,,
Circle K Gas,34.7271942,-86.6270232,4.2,293.0,"540 Jordan Ln NW, Huntsville",small_business,False,"This place is a quick stop for grabbing snacks, getting gas, and heading back out. There's about 4 or so pumps available and it's a neat, little space that you can enter in where you will find a clerk working behind the register. You can always count on them to be open.","Third time I have stopped at this store and bathroom is never open, Not Convenient at all! ""Not Convenient"" is the word I use to describe this store.",,,,
Tous Les Jours,34.7383287,-86.6662345,4.6,328.0,"1026 Mid City Dr, Huntsville",small_business,False,"10/10 red bean buns, sweet soft bread, and their savory treats are a must-have. I'm in love with the curry and kimchi croquettes. The staff are so friendly and welcoming.","The croissants were soggy and didn't taste fresh at all. They offered to fix it, but it was late for me so I just took it. Honestly, I came here for good pastries.",,,,
The Foundation Coffeehouse,34.7899737,-86.57295599999999,4.3,25.0,"4701 Meridian St N Suite K, Huntsville",small_business,False,"The food is delicious and well worth it they’re a little pricey but you get what you pay for! They have discontinued, the coffee, shop, part of the business, but the food is amazing. Employees were sweet and knowledgeable, patient with us not knowing the menu differences between vegan and the other options. Coming back to town soon and will stop here every time now.","Closed? — not a cafe — appears to now be a venue rental space. Owners need to update business name, business category, hours, etc.",,,,
Scooter's Coffee,34.720423,-86.59050080000002,4.5,300.0,"700 Governors Dr SW, Huntsville",big_brand,False,Delightful coffee. The frozen blended ones always hit the spot when you feel like rewarding yourself a little. Great quick service with a smile too. Highly recommend.,"I ordered a medium Americano with two extra shots and extra ice. When I received my Americano, it was very clear and had very little espresso at all. On top of that, they refused to take the first one back even though it was complete garbage. They don't even have a way to contact them or explain this issue on their website.",,,,
Mudslingers Drive-Thru Coffee,34.6505125,-86.47796699999999,4.8,119.0,"6935 US-431, Owens Cross Roads",small_business,True,"Mudslingers is a drive through coffee shop on the side of the road. The owners and staff are genuinely just nice people. If you want an amazing cup of coffee with great service, stop by.",No bad reviews available.,,,,
White Bison Coffee,34.814469,-86.4999084,3.7,148.0,"2001 Winchester Rd NE, Huntsville",small_business,False,Best coffee in this area and much more affordable than driving further for a local coffee shop. Twice I’ve gotten lattes here and both times were great coffee and great service!,Waited 45mins for a curbside order. They initially called when I first arrived to ask to substitute an out of stock item. After I gave up and went in staff first ignored me for 5mins. I declined the offer of cold food and drinks.,,,,
Hungry Howie's Pizza,,,4.4,833.0,"5613 University Blvd W, Jacksonville",small_business,False,,,30.272026,-81.609498,The food looks as good as the pictures and tastes even better than you hope for the incredibly good prices. The salads are impressive and well priced. The dining room is too much yellow for me to feel comfortable. Long wait time and they shorted me on vegetables.,No bad reviews available.
Five Star Pizza,,,4.5,1194.0,"3325 Plymouth St, Jacksonville",small_business,False,,,30.3101465,-81.7107599,Get the garlic crust! And know that a Piezilla will feed 5 or 6 HUNGRY people. There was a glitch in my order and they called me to make sure they got it right!,"Five Star used to be EXCELLENT. Lately however, it's like the pizza dough is soaked in water before throwing it in the box. It's so wet, the bottom of the box is literally falling apart by the time I get it... which is pretty quick. Will anyone do anything to remedy this or, like most things these days, am I wasting my breath saying anything at all?"
Royal Pizza Plus,,,4.5,13.0,"445 Stockton St, Jacksonville",small_business,False,,,30.3234998,-81.6914743,"The pizza itself was fantastic, but the real surprise was the wings – absolutely divine. A perfect harmony of flavors and textures. A must-visit for pizza lovers seeking something extraordinary.",No bad reviews available.
Mega's Pizza,,,4.5,606.0,"5800 Beach Blvd #107, Jacksonville",small_business,False,,,30.2920343,-81.60449009999999,"The food was amazing, the turkey salad was enough for two and delicious. The owners were as nice as could be, professional and polite. Received food very quickly after ordering. Restaurant was very clean. Loved this place.",No bad reviews available.
Domino's Pizza,,,3.7,898.0,"6651 Arlington Rd, Jacksonville",small_business,False,,,30.3334719,-81.5895014,"I had a great experience with Domino’s Pizza! Ordering online was fast and simple, and I was ready on time. I also appreciated the variety of menu options, from the cheesy bread to the specialty pizzas.","This location used to be amazing. I always got my order within 30min, steaming hot. App tells you 20min for delivery then the tracker sits in prep for 1 hrs. Pizza is finally done but sits for another 30min before it's out for delivery. Charge people 10 cents for packets of Parmesan and red hot flakes."
CUBAN PIZZERIA,,,4.6,682.0,"4347-2 University Blvd S, Jacksonville",small_business,False,,,30.2780859,-81.6025288,"The staff was polite and patient while our daughter practiced her Spanish. Pizza was good and cheezy, they make a thicker style pizza like a deep dish from Pizza Hut.",This is not how cuban pizza is supposed to taste. I don't think the pizza was made when I was there. It tasted as if it was pre-made. Pizza hut is better.
Hungry Howie's Pizza & Subs,,,3.6,277.0,"8011 Merrill Rd Suite #20, Jacksonville",small_business,False,,,30.3540205,-81.56127819999999,Pizza was delicious worth 30$ not in my opinion will be back for the deals great employee Zachary H was kind a respectful young man thanks again hungry howie for a delicious pizza.,The food was so disgusting it was almost inedible. After three bites I couldn't eat anymore and just went straight to the crust. I've never ordered the Howie bread before so i'm not sure how they intended it to be.
Domino's Pizza,,,3.7,630.0,"7020 Beach Blvd, Jacksonville",small_business,False,,,30.2890973,-81.5871254,Place not found.,Place not found.
Little Caesars Pizza,,,3.8,1907.0,"5551 Normandy Blvd, Jacksonville",small_business,False,,,30.3091471,-81.74316329999999,"Outstanding, I like to drop in every once in a while, and get a quick bite, I get the little poppers, the 4  four under 5 bucks. Services quick, and easy, very painless. Food is always delicious. Clean environment, management put together a  good team, they had no problem keeping business.",This location is hopeless. This place is HORRIBLE!! I ordered 3 pizzas through the drive thru and after 30 minutes of waiting had to go inside to figure out where my food was. It took another 8 minutes of the employees talking to eachother in the back and walking around laughing together before I finally had to call out to someone to get their attention. Then they try to give me 1 decent pizza... 1 wrong pizza... and 1 that had a pile of grease in the
Domino's Pizza,,,3.7,396.0,"5025 San Jose Blvd, Jacksonville",small_business,False,,,30.2661458,-81.6472323,No good reviews available.,"When I tried to use the make it right option on the app, it offered me points enough for a 2 topping pizza not a deluxe. I ordered a medium deluxe and had one half pepperoni and the other half deluxe as the menu has it. The receipt has it correct, but You sent me a Pepperoni only pizza."
Carmines Pie House,,,4.6,4755.0,"2677 Forbes St, Jacksonville",small_business,False,,,30.312701,-81.694744,Carmine's Pie House is a local gem for a quality Italian pizza experience. Outstanding Deep Dish and Even Better Hospitality! Service members and Veterans get first free round of beers on the house!!!,No bad reviews available.
Little Caesars Pizza,,,3.7,987.0,"7645 Merrill Rd, Jacksonville",small_business,False,,,30.3525023,-81.5705547,Best little Caesars I've ever had. I ordered 3 pizzas with extra sauce and got extra everything. They know how to make good pizza here and plan to keep in business. I'll be ordering here for now on.,The fact is they just don't know how to make pizza. They don't make the dough right or they don't cook it right. Just gross.
Marco's Pizza,,,4.0,655.0,"5324 11 Blanding Blvd, Jacksonville",small_business,False,,,30.2489288,-81.7440799,"Marco’s gained a new customer. The food is always on point and we have tried several things! We love the pizza, salad, and wings the most.",This is how my pizza looked when I received it. I order from this place all the time and my pizza never looked like this. It’s sad I got to give them a 1 star today. It did not taste right or looked good.
Pizza Hut,,,3.5,264.0,"5615 San Jose Blvd #2, Jacksonville",small_business,False,,,30.2616735,-81.6449887,Ordered a pie from this place last night. I went through door dash due to the fact I am now out of Hut's delivery zone. It was very fresh and very good.. I could not have been happier.,This was by far the WORST experience i’ve had with PizzaHut. Pizza tasted like old pizza heated up and stale with barely any cheese on it. As long as they use door dash for delivery I am done.
Leo's Pizza Italiano,,,4.5,559.0,"5150 Normandy Blvd, Jacksonville",small_business,False,,,30.308928,-81.7344481,"Leo's Pizza Italiano was the place of my fiancé and I's ""official"" first date. I highly recommend the pizza most especially! The staff is so kind and accommodating and they truly make Leo's what it is today.",I saw reviews and was excited. Actual visit was pretty bad. Waited about 5 minutes for food when I got there which I didn't mind. Nothing we ordered looked anything like what I had seen in the past.
Little Caesars Pizza,,,3.8,651.0,"2261 Edgewood Ave W, Jacksonville",small_business,False,,,30.380151,-81.6985258,Everytime I come here it gets better & better ! Cashiers are nice very thoughtful! My kids love lil Caesar’s! Food is always freshhhh and so delicious I ordered online and ordered a stuffed crust cheese pizza and they gave me pepperoni and we don't eat pepperoni due to religious purposes.,Ordered pizza puffs online and they were over cooked and very premature! No one apologized nor even asked if I wanted a remake. There was no management present at all.
Pizza Hut,,,3.7,572.0,"1630 San Marco Blvd #32, Jacksonville",small_business,False,,,30.3081288,-81.6606635,"This is by far my favorite location. The associates are always nice and attentive. If you arrive early, they might even put you at the front of the 'making it' line.","The pizza was dry, overcooked, barely any sauce or cheese. The boneless wings are just the frozen ones heated up. I order through the Pizza Hut app to avoid door dash and get they had door dash deliver the food still, with no security wrapping or anything sealing the food secure."
Pizza Hut,,,3.6,528.0,"5844 Atlantic Blvd, Jacksonville",small_business,False,,,30.3120931,-81.6020143,"Placed the order online, the pizzs was made to perfection. Fresh out the oven on arrival. Special thanks Jason and Tony!!AAA pizza this is better than the brick oven mama and pop stores!!! Will only come back here!!",This location sent the wrong pizza to a disabled person and then told her that she had to get her money back from the DoorDash. The staff and manager was rude and kept placing her on hold and then just started laying the phone down when she kept calling back. This location is usually pretty good but it's gone downhill lately.
Pizza Hut,,,3.4,1000.0,"6140 Merrill Rd, Jacksonville",small_business,False,,,30.351452,-81.5941058,"Best pizza I’ve ever had in my life. So quick, fresh, and hot everytime. Erica has done great things to this store & it just gets better everytime we go!!","I've tried to order from this pizza hut. And it's just garbage management sucks, nobody knows what they're doing! So i'm taking my business somewhere else. If any pizza hut at all, considering there's none close to my house."
